,loss,acc,val_loss,val_acc
0,1.924030065536499,0.6194779276847839,1.0627821683883667,0.6166825890541077
1,0.8282246589660645,0.6669999957084656,0.8139198422431946,0.6144539713859558
2,0.6051070094108582,0.7440000176429749,0.5237533450126648,0.768226683139801
3,0.5722264647483826,0.7464859485626221,0.5614879131317139,0.6899076700210571
4,0.5045130252838135,0.7674999833106995,0.4102274179458618,0.8073861598968506
5,0.5130320191383362,0.7684999704360962,0.3599693477153778,0.840815007686615
6,0.45859503746032715,0.7850000262260437,0.3791487216949463,0.8373129367828369
7,0.47780993580818176,0.8002008199691772,0.3584129810333252,0.8366762399673462
8,0.4515506625175476,0.8025000095367432,0.4074331521987915,0.8118433356285095
9,0.4381200969219208,0.8159999847412109,0.44901561737060547,0.7971983551979065
10,0.4478054344654083,0.8274999856948853,0.35200950503349304,0.8522763252258301
11,0.3999069929122925,0.8320000171661377,0.2962239682674408,0.8885705471038818
12,0.39374375343322754,0.8355000019073486,0.2955177426338196,0.878382682800293
13,0.3820697069168091,0.828000009059906,0.3356497287750244,0.8564151525497437
14,0.3818119168281555,0.8479999899864197,0.436303049325943,0.8175740242004395
15,0.3495769798755646,0.8509036302566528,0.3198215663433075,0.8742438554763794
16,0.37052837014198303,0.8445000052452087,0.2806858718395233,0.8841133117675781
17,0.3778376877307892,0.8429999947547913,0.3855954706668854,0.8213944435119629
18,0.3924335539340973,0.8454999923706055,0.28066644072532654,0.8914358615875244
19,0.35760465264320374,0.8504999876022339,0.2805100083351135,0.8914358615875244
20,0.3302316963672638,0.8565000295639038,0.24368329346179962,0.9019420742988586
21,0.3479214310646057,0.8619999885559082,0.294723242521286,0.8844317197799683
22,0.324283629655838,0.8654999732971191,0.41238099336624146,0.8490926623344421
23,0.3849901258945465,0.8524096608161926,0.28404223918914795,0.8872970342636108
24,0.3510594367980957,0.8549196720123291,0.2497396320104599,0.9032155275344849
25,0.3260991871356964,0.8610000014305115,0.2457161843776703,0.9067175984382629
26,0.3173520267009735,0.8795180916786194,0.26858338713645935,0.8987583518028259
